arm,stage,split,run_id,n_features,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,turnover,total_return,total_trades
full,A,val,20260728_024132,19,0.07364420215451539,0.9031251924122856,0.09326384814942386,0.4805491990846682,1.1165924236376321,0.6820388349514563,0.14979021886404875,1748.0
full,A,test,20260728_024132,19,-0.02031885267296407,-0.10685296749180452,0.09070988035724656,0.48169418521177315,0.9773644988610567,0.671604938271605,-0.030638840946339063,1393.0
returns,A,val,20260728_024137,3,0.0759502219977255,0.9439719287591798,0.07114376644599818,0.508179419525066,1.099337225946064,0.841747572815534,0.15464618245583917,1895.0
returns,A,test,20260728_024137,3,-0.07572994681397127,-0.571582480657597,0.21015823360396751,0.49267643142476697,0.9155816242468621,0.840740740740741,-0.11252638944733173,1502.0
trend,A,val,20260728_024141,8,0.0016232241308122841,0.05942610112566005,0.08928811582687304,0.4744897959183674,1.0024928010579859,0.6830097087378643,0.0031909713069786516,1764.0
trend,A,test,20260728_024141,8,-0.11407698857599513,-1.0407979335215172,0.20345717009680506,0.4686192468619247,0.8651112073186188,0.6932098765432099,-0.16774006302632571,1434.0
momentum,A,val,20260728_024146,3,-0.055725545806906696,-0.6587424760218076,0.14665402443939665,0.46673706441393875,0.9169387997068181,0.8252427184466019,-0.10651795412044751,1894.0
momentum,A,test,20260728_024146,3,-0.0599068735665248,-0.5720550962945692,0.16808321546341165,0.4635135135135135,0.9233684542654769,0.7839506172839507,-0.08939410624850164,1480.0
volatility,A,val,20260728_024151,3,0.06156697782382947,0.7542597591842153,0.08520577535615854,0.47909199522102747,1.0903353159235933,0.6237864077669902,0.1245223928439847,1674.0
volatility,A,test,20260728_024151,3,-0.0244893986917194,-0.14698468129795283,0.12002955497113084,0.47129008202833705,0.9709559721085909,0.6148148148148148,-0.03688738932931268,1341.0
volume,A,val,20260728_024155,2,-0.01979430773388502,-0.24257603874506556,0.14086013163357972,0.47986942328618065,0.9678627045299025,0.7553398058252427,-0.038510513580049976,1838.0
volume,A,test,20260728_024155,2,-0.13655023823147494,-1.3993514407292897,0.23228091338359946,0.4556701030927835,0.8306527665592826,0.7518518518518519,-0.19953287345316828,1455.0
returns_volatility,A,val,20260728_024200,6,0.10359719090911224,1.2125939920057858,0.05117363675608836,0.49889012208657046,1.153421294589388,0.7247572815533981,0.21364654309571618,1802.0
returns_volatility,A,test,20260728_024200,6,-0.004281385280059946,0.03836174814781794,0.09520065480669603,0.49572649572649574,0.9952692249466413,0.6975308641975309,-0.006482864343721917,1404.0
top5,B,val,20260728_024204,5,0.0036608556400299364,0.08563159948624273,0.11337674320764096,0.48783185840707965,1.0051036344828101,0.7533980582524272,0.007203658337262553,1808.0
top5,B,test,20260728_024204,5,0.06157710110142034,0.5587968304367078,0.12147432344991219,0.49606299212598426,1.0705311091313807,0.7290123456790123,0.0948112265504697,1397.0
top10,B,val,20260728_024209,10,0.03401310737558805,0.4461248839037188,0.08085520828485834,0.4757834757834758,1.0547810954468861,0.6747572815533982,0.06790667407865492,1755.0
top10,B,test,20260728_024209,10,0.005825716188806673,0.10911611239379697,0.11020248868323802,0.4834770114942529,1.006385229331506,0.6839506172839507,0.00884430362274835,1392.0
cum80,B,val,20260728_024213,15,0.06280515071597059,0.7528183262072203,0.06777382047475723,0.4729885057471264,1.097767335911217,0.6805825242718447,0.12710020229992902,1740.0
cum80,B,test,20260728_024213,15,0.01797145062625427,0.2037148695357473,0.10703451043756693,0.4744420446364291,1.0194774541516691,0.6876543209876543,0.027368355375406495,1389.0
