target,baseline,delta_sharpe,delta_annual_return,delta_mean_daily_ic,material
B_3d_absolute,A_5d_absolute,-0.5736696492785381,-0.07108282725481319,0.0021891398253387675,True
C_10d_absolute,A_5d_absolute,-0.07911650603719367,-0.009062362041315941,0.007090454971366634,True
D_5d_relative,A_5d_absolute,-0.9528598916778961,-0.11445624525002374,-0.013067304283540302,True
