target,split,ic_overall,ic_mean_daily,ic_std_daily,ic_ir,top_decile_hit_rate
A_5d_absolute,val,0.02947725618352789,0.013540737841176879,0.1625809177331089,0.0832861447086011,0.2642809139784946
B_3d_absolute,val,0.025101521867419773,0.013818919410359572,0.15796923260102136,0.08747854998613334,0.2660642570281124
C_10d_absolute,val,0.03112163503804313,0.015161156331081279,0.16952409236890773,0.08943363812907795,0.28598099117447384
D_5d_relative,val,0.00984310965912575,0.008949844615204719,0.13385451989613772,0.06686247593394087,0.2857862903225806
A_5d_absolute,test,0.02815860108112485,0.014937536186386118,0.16934743552583084,0.0882064504844992,0.29475308641975306
B_3d_absolute,test,0.02958432958151703,0.017126676011724885,0.16600412467901782,0.10317018354116608,0.2940917107583774
C_10d_absolute,test,0.0336378941532732,0.022027991157752752,0.17296981403507994,0.12735164965422963,0.30357142857142855
D_5d_relative,test,0.007379934207229115,0.0018702319028458148,0.13549743997224428,0.013802710244775982,0.29298941798941797
