target,split,top_decile_mean_return,bottom_decile_mean_return,top_minus_bottom
A_5d_absolute,test,0.01126490739096701,0.006283520845020977,0.004981386545946033
B_3d_absolute,test,0.010969259312254625,0.0064663121553619664,0.004502947156892659
C_10d_absolute,test,0.011146713762730302,0.004267438713638849,0.006879275049091453
D_5d_relative,test,0.00976569168082482,0.008364213327866896,0.0014014783529579244
