model_type,split,ic_overall,ic_mean_daily,ic_std_daily,ic_ir,top_decile_hit_rate
xgboost,test,0.021691945937547384,0.00019361125770729585,0.18209720048083558,0.0010632302813884942,0.29264577893820715
lightgbm,test,0.02760657325783863,0.004389364310786681,0.18609018002454922,0.023587296816025602,0.28764142732811143
random_forest,test,0.034863676606453564,0.011113494442248491,0.20010573340209434,0.05553811104410952,0.2952567449956484
catboost,test,0.029293758129729883,0.006487014176146221,0.19551145374749074,0.03317971429195348,0.2989556135770235
