model_type,split,top_decile_mean_return,bottom_decile_mean_return,top_minus_bottom
xgboost,test,0.010362552393023597,0.006579785531095929,0.003782766861927668
lightgbm,test,0.0099093930446025,0.006112244578214059,0.00379714846638844
random_forest,test,0.010748866427095629,0.003055053428415028,0.007693812998680601
catboost,test,0.009832323443664952,0.005097759595567917,0.004734563848097035
