model_type,split,run_id,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,turnover,total_return,total_trades
xgboost,val,20260727_234321,0.07364420215451539,0.9031251924122856,0.09326384814942386,0.4805491990846682,1.1165924236376321,0.6820388349514563,0.14979021886404875,1748.0
xgboost,test,20260727_234321,-0.02031885267296407,-0.10685296749180452,0.09070988035724656,0.48169418521177315,0.9773644988610567,0.671604938271605,-0.030638840946339063,1393.0
lightgbm,val,20260727_234331,0.05702526145800202,0.6811433356027679,0.07048454006955424,0.47530505520046484,1.0876760918665804,0.653883495145631,0.11509159232222022,1721.0
lightgbm,test,20260727_234331,-0.02120841016656594,-0.10872218765902053,0.10322654103819427,0.4706308919506889,0.9744683552087418,0.6666666666666667,-0.03197277993363723,1379.0
random_forest,val,20260727_234337,0.05306445175673291,0.6068168793234221,0.07506714782117858,0.47880597014925375,1.0890055995285,0.625728155339806,0.10689886601732623,1675.0
random_forest,test,20260727_234337,-0.050295399769408555,-0.29118118502321044,0.14332259760206245,0.4708994708994709,0.9367215789239548,0.6055555555555555,-0.07524417613142476,1323.0
catboost,val,20260727_234437,0.07687485717006814,0.8626181138685228,0.06067103575138341,0.4706227967097532,1.1292063616916965,0.6359223300970875,0.15659607966438527,1702.0
catboost,test,20260727_234437,-0.07404273992425381,-0.48066126027686396,0.18727406976115482,0.4712308812818645,0.908418368356182,0.6395061728395062,-0.1100694632702488,1373.0
